2025-12-22T20:19:46.332617+0100 | INFO | Starting application...
2025-12-22T20:28:41.428575+0100 | INFO | Starting application...
2025-12-22T20:28:41.449193+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:28:41.450624+0100 | INFO | Login attempt from testclient - user=admin
2025-12-22T20:28:41.454583+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:28:41.459125+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:28:41.459626+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:28:41.480208+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:28:41.486415+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:28:41.487719+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:28:41.493294+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:28:41.494173+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:28:41.497854+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:28:41.498696+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:28:41.501699+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:28:41.506920+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:28:41.510261+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:30:17.199048+0100 | INFO | Starting application...
2025-12-22T20:30:17.232739+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:30:17.234789+0100 | INFO | Login attempt from testclient - user=admin
2025-12-22T20:30:17.249365+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:30:17.256083+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:30:17.280998+0100 | WARNING | Blocked IP: 9.9.9.9
2025-12-22T20:30:17.286560+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:30:17.287847+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:30:17.293120+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:30:17.296777+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:30:17.297361+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:30:17.299494+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:30:17.300095+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:30:17.302920+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:30:17.303588+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:30:17.306364+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:30:17.309485+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:30:17.312505+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:31:48.992244+0100 | INFO | Starting application...
2025-12-22T20:31:49.063717+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:31:49.065676+0100 | INFO | Login attempt from testclient - user=admin
2025-12-22T20:31:49.071191+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:31:49.076086+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:31:49.081985+0100 | WARNING | Blocked IP: 9.9.9.9
2025-12-22T20:31:49.087307+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:31:49.088355+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:31:49.092727+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:31:49.193921+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:31:49.195766+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:31:49.198618+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:31:49.199196+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:31:49.201465+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:31:49.201960+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:31:49.204650+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:31:49.209152+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:31:49.213837+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:32:06.146328+0100 | INFO | Starting application...
2025-12-22T20:32:06.165197+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:32:06.166682+0100 | INFO | Login attempt from testclient - user=admin
2025-12-22T20:32:06.169877+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:32:06.173378+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:32:06.190011+0100 | WARNING | Blocked IP: 9.9.9.9
2025-12-22T20:32:06.195094+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:32:06.196004+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:32:06.201543+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:32:06.208438+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:32:06.209044+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:32:06.212134+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:32:06.212692+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:32:06.216634+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:32:06.217863+0100 | INFO | Login attempt from testclient - user=test
2025-12-22T20:32:06.221084+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:32:06.225746+0100 | INFO | Allowed IP: 192.168.1.20
2025-12-22T20:32:06.231049+0100 | INFO | Allowed IP: 192.168.1.20
